array-read,shm-read,array-write,shm-write
1.384005613,1.376005564,1.627924740,1.675922522
2.615994386,1.376005564,2.512068687,2.512068683
1.376005582,2.623994436,1.483931588,1.483931590
2.623994419,1.376005564,2.516068316,2.516068311
1.380005599,2.619994419,1.483931774,1.487931593
1.380005598,1.376005565,2.516068131,2.512068311
2.619994401,1.376005565,1.487931777,1.487931780
1.380005598,2.623994434,2.516067949,2.516067944
1.376005583,1.376005566,1.487931962,1.487931965
2.623994417,1.376005565,2.516067765,2.512067943
1.376005583,2.623994434,1.483932328,1.483932332
2.619994401,1.376005567,2.516067584,2.512067761
1.384005616,2.619994417,1.487932329,1.483932513
1.384005616,1.376005567,2.516067403,2.516067397
2.611994367,1.376005566,1.487932510,1.487932513
1.380005600,2.623994432,2.516067222,2.512067399
2.615994383,1.376005568,1.483932872,1.487932694
1.388005633,1.376005568,2.504067587,2.512067219
1.384005617,2.619994416,1.483933052,1.483933055
2.619994399,1.376005568,2.512067047,2.516066862
1.376005585,2.623994432,1.483933229,1.487933053
1.376005585,1.376005569,2.516066689,2.512066864
2.619994398,1.376005569,1.483933406,1.487933230
1.376005585,2.619994414,1.487933307,2.516066508
2.623994414,1.376005569,2.516066418,1.487933406
1.376005586,1.376005570,1.483933662,2.512066512
1.376005586,2.619994414,2.516066243,1.483933761
2.623994414,1.376005570,1.487933657,2.512066339
1.376005587,2.623994430,2.516066070,1.487933758
1.384005619,1.376005571,1.483934009,1.487933835
2.619994398,1.376005570,2.516065899,2.512066070
1.380005604,2.619994412,1.483934182,1.487934008
2.623994413,1.376005571,2.516065727,2.512065898
1.380005604,2.623994429,1.483934352,1.487934180
1.376005588,1.376005572,2.516065557,2.516065549
2.615994380,1.380005588,1.487934347,1.487934351
1.376005588,2.623994427,2.516065389,2.512065557
1.376005587,1.376005573,1.483934693,1.483934697
2.623994411,1.380005588,2.516065221,2.516065213
1.380005604,2.623994427,1.487934686,1.495934340
2.623994411,1.376005573,2.516065055,2.512065222
1.376005589,2.619994411,1.487934855,1.487934859
1.376005589,1.380005590,2.516064887,2.520064703
2.619994395,1.376005573,1.483935195,1.491934851
1.376005589,2.623994425,2.516064723,2.504065237
1.376005590,1.380005590,1.483935363,1.499934670
2.623994410,1.376005574,2.512064735,2.504065069
1.380005606,2.623994425,1.483935527,1.495935011
2.623994410,1.376005575,2.516064396,2.504064903
1.376005591,2.623994426,1.483935691,1.495935178
1.384005622,1.376005576,2.516064234,2.508064566
2.623994410,1.376005575,1.483935854,1.487935688
1.376005591,2.623994424,2.512064247,2.520063885
2.623994409,1.376005576,1.483936016,1.479936195
1.376005592,1.376005576,2.512064085,2.520063726
1.376005590,2.623994424,1.487936004,1.483936181
2.619994392,1.380005592,2.512063923,2.516063738
1.376005592,2.623994423,1.483936335,1.483936341
1.376005592,1.376005577,1.491936064,2.516063580
2.623994408,1.376005577,2.512063675,1.479936673
1.376005592,2.623994422,1.487936395,2.516063424
2.623994408,1.376005577,2.516063349,1.503935806
1.376005593,1.376005578,1.487936554,2.508063606
1.376005591,2.623994422,2.516063193,1.479936987
2.623994407,1.376005577,1.483936881,2.508063449
1.376005594,2.623994421,2.516063036,1.483936974
1.376005592,1.380005595,1.483937036,2.520062786
2.619994391,1.376005579,2.512063052,1.479937298
1.376005595,2.623994421,1.483937192,2.520062632
2.623994407,1.380005595,2.516062729,1.479937451
1.376005594,1.376005579,1.487937176,1.491937014
1.376005594,2.623994420,2.516062576,2.516062563
2.623994406,1.376005580,1.487937330,1.499936831
1.376005593,2.623994421,2.504062929,2.520062244
1.376005594,1.376005581,1.503936812,1.475937993
2.623994406,1.376005580,2.492063278,2.520062094
1.376005595,2.623994419,1.487937637,1.479937976
2.623994405,1.376005580,2.516062119,2.524061777
1.376005595,1.376005581,1.499937285,1.479938125
1.376005595,2.623994418,2.508062303,2.520061798
2.623994405,1.376005581,1.487937939,1.479938275
1.376005596,2.623994419,2.508062155,2.520061651
1.376005596,1.376005581,1.487938088,1.479938422
2.623994404,1.376005583,2.516061672,2.524061337
1.376005596,2.623994418,1.487938237,1.479938569
2.623994404,1.380005599,2.516061527,2.520061358
1.376005596,1.376005583,1.487938384,1.475938882
1.376005597,2.623994418,2.512061546,2.520061215
2.623994404,1.376005583,1.503937870,1.475939026
1.376005597,2.627994433,2.496062058,2.520061070
1.380005613,1.376005583,1.503938018,1.479939005
2.615994371,1.376005584,2.496061910,2.524060764
1.384005630,2.619994400,1.507938002,1.479939150
2.611994354,1.376005583,2.496061763,2.524060622
1.376005597,1.372005568,1.499938476,1.479939293
1.380005615,2.623994415,2.496061615,1.475939519
2.623994402,1.376005583,1.499938623,2.520060566
1.376005598,2.623994415,2.504061145,1.479939497
1.376005597,1.376005586,1.483939420,2.520060427
2.619994384,1.376005584,2.512060675,1.475939802
1.376005598,2.623994414,1.483939560,2.520060287
2.623994401,1.376005585,2.512060535,1.479939777
1.376005598,1.376005586,1.483939702,2.520060149
1.380005616,2.623994415,2.512060396,1.483939755
2.623994401,1.376005587,1.487939679,2.524059848
1.376005599,2.623994414,2.516060095,1.479940055
2.623994401,1.376005586,1.487939818,2.524059713
1.376005600,1.376005587,2.516059958,1.479940194
1.380005616,2.623994414,1.487939956,2.520059739
2.623994401,1.380005603,2.512059981,1.479940331
1.376005600,1.376005587,1.483940254,2.520059604
1.376005601,2.623994413,1.487940155,1.479940466
2.623994400,1.372005572,2.492060573,2.524059307
1.376005600,2.623994413,1.503939651,1.479940601
2.619994383,1.376005588,2.516059473,2.520059336
1.376005601,1.376005588,1.487940428,1.475940896
1.376005601,2.623994413,2.516059338,2.520059203
2.623994399,1.380005605,1.487940563,1.479940871
1.376005601,2.623994411,2.508059523,1.475941088
1.384005634,1.376005589,1.491940537,2.520058996
2.619994383,1.376005589,2.516059072,1.479941060
1.384005635,2.623994411,1.487940831,2.524058707
2.615994366,1.372005572,2.516058941,1.479941194
1.376005601,1.376005590,1.487940963,2.520058736
1.376005602,2.623994410,2.512058969,1.479941325
2.623994397,1.376005589,1.487941095,2.520058608
1.376005602,2.623994410,2.516058679,1.479941456
1.376005603,1.376005590,1.487941226,2.524058320
2.623994398,1.376005590,2.508058866,1.479941583
1.376005603,2.619994393,1.487941355,2.516058508
2.623994398,1.376005591,2.512058578,1.475941872
1.380005620,1.376005590,1.487941485,2.520058224
1.376005603,2.623994409,2.512058450,1.479941841
2.623994397,1.376005591,1.483941771,2.520058096
1.376005603,2.623994408,2.512058322,1.475942125
1.376005604,1.376005591,1.483941898,2.520057971
2.623994396,1.376005592,2.512058196,1.479942094
1.380005620,2.623994408,1.483942026,2.520057844
2.623994396,1.376005592,2.512058071,1.475942376
1.376005604,1.376005592,1.483942151,2.520057722
1.376005604,2.623994408,2.512057943,1.479942346
2.623994395,1.376005592,1.483942276,2.520057598
1.380005621,2.623994407,2.512057820,1.479942470
1.380005621,1.376005592,1.487942245,1.475942681
2.623994089,1.376005594,2.516057540,2.520057406
1.376006483,2.623994407,1.487942370,1.479942649
2.623993521,1.376005593,2.516057419,2.520057285
1.380006497,1.376005594,1.487942494,1.475942925
1.376006477,2.619994391,2.516057296,2.520057163
2.623993526,1.376005594,1.495942308,1.479942893
1.376006472,2.627994422,2.496057945,2.524056889
1.376006470,1.376005594,1.495942432,1.479943014
2.623993530,1.376005594,2.496057820,2.520056924
1.376006466,2.623994405,1.499942399,1.475943289
2.619993516,1.376005594,2.496057696,2.520056805
1.376006464,1.376005595,1.495942677,1.479943254
1.376006461,2.623994405,2.512056963,2.520056685
2.623993540,1.372005579,1.483943255,1.475943526
1.376006458,2.623994405,1.487943156,2.520056570
1.380006474,1.376005596,2.504057083,1.479943493
2.623993546,1.376005594,1.495942971,2.524056299
1.380006471,2.623994403,2.512056660,1.479943609
2.623993548,1.376005595,1.487943395,2.524056183
1.376006448,1.376005597,2.516056389,1.479943726
1.376006447,2.623994405,1.487943510,2.520056219
2.619993536,1.376005597,2.516056273,1.475943995
1.376006444,2.623994404,1.487943628,1.479943893
2.623993558,1.376005598,2.516056157,2.524055888
1.380006458,1.376005597,1.487943743,1.479944010
1.376006439,2.623994404,2.516056043,2.520055928
2.623993564,1.376005598,1.487943860,1.475944275
1.376006434,1.376005597,2.516055929,2.520055814
1.380006452,2.619994386,1.487943975,1.479944240
2.623993568,1.376005597,2.516055816,2.524055552
1.376006429,2.627994418,1.487944088,1.479944352
2.623993572,1.376005597,2.516055702,2.520055589
1.376006426,1.376005599,1.487944202,1.479944464
1.376006424,2.623994402,2.512055740,2.520055477
2.619993559,1.372005582,1.491944165,1.475944726
1.384006458,1.376005598,2.504055926,2.520055367
1.380006437,2.623994401,1.503943830,1.479944689
2.607993507,1.376005598,2.496056113,2.524055109
1.384006452,2.623994400,1.515943498,1.479944799
2.615993548,1.376005599,2.496055999,2.508055595
1.384006449,1.372005582,1.507943910,1.479944911
1.384006449,2.623994400,2.496055886,2.516055188
2.615993554,1.376005599,1.503944170,1.475945167
1.384006444,1.376005601,2.496055772,2.520054930
2.615993557,2.623994401,1.503944282,1.475945277
1.384006441,1.376005600,2.500055514,2.520054823
1.384006440,2.623994400,1.499944541,1.479945236
2.623993600,1.376005600,2.508055109,1.479945285
1.376006400,1.380005617,1.495944798,2.524054508
1.376006397,2.623994399,2.516054705,1.479945391
2.619993586,1.376005601,1.491945053,2.520054551
1.376006393,1.376005601,2.516054598,1.479945500
2.623993607,2.623994400,1.487945308,2.520054445
1.380006409,1.376005602,2.512054640,1.479945605
1.376006389,2.623994399,1.499944974,2.520054341
2.623993612,1.376005601,2.500054973,1.475945857
1.380006404,1.376005602,1.483945667,2.520054236
1.384006421,2.623994398,2.512054427,1.479945815
2.619993598,1.376005602,1.483945770,2.520054133
1.376006380,1.376005602,2.512054323,1.475946065
2.619993602,2.623994398,1.491945585,2.520054029
1.376006379,1.376005602,2.508054366,1.479946023
1.376006376,2.623994398,1.499945399,2.520053927
2.623993626,1.376005603,2.492054844,1.475946272
1.380006391,1.376005602,1.499945503,2.520053826
1.380006390,2.623994396,2.500054446,1.479946228
2.611993574,1.376005602,1.499945607,2.524053578
1.384006406,1.376005603,2.504054198,1.479946330
2.615993597,2.623994397,1.487946144,2.520053625
1.384006402,1.376005605,2.516053662,1.475946577
1.384006401,2.623994397,1.487946247,1.479946477
2.615993601,1.372005588,2.516053563,2.520053468
1.384006397,1.380005620,1.491946203,1.479946577
2.619993622,2.623994397,2.500054038,2.524053225
1.384006394,1.376005605,1.491946305,1.479946677
1.376006355,1.376005603,2.512053506,2.520053270
2.623993645,2.623994395,1.483946692,1.479946777
1.388006408,1.376005604,2.508053550,2.524053029
1.384006388,2.623994394,1.503946074,1.479946874
2.623993650,1.376005999,2.496053880,2.520053074
1.380006366,1.372006462,1.483946890,1.479946973
2.623993653,2.623993520,2.512053210,2.524052834
1.376006345,1.376006478,1.499946418,1.479947070
1.376006344,1.376006476,2.516052969,2.520052882
2.623993658,2.623993526,1.487946943,1.479947169
1.376006340,1.372006454,1.483947128,2.520052787
1.376006339,2.623993530,2.512052961,1.479947265
2.619993644,1.376006468,1.483947224,2.524052548
1.380006355,1.376006467,2.508053006,1.479947359
2.615993628,2.623993535,1.495946895,2.520052595
1.380006352,1.376006463,2.516052627,1.479947456
1.376006331,1.376006462,1.483947415,2.524052360
2.619993651,2.623993541,2.512052674,1.479947550
1.376006328,1.376006458,1.483947511,2.524052266
1.376006328,2.623993544,2.512052580,1.479947645
2.623993675,1.376006453,1.483947604,1.479947686
1.376006326,1.376006453,2.512052487,2.520052263
2.623993678,2.623993550,1.483947698,1.479947779
1.376006322,1.376006449,2.508052534,2.520052170
1.376006320,1.376006447,1.487947651,1.479947873
2.623993681,2.623993555,2.512052301,2.524051938
1.380006335,1.376006443,1.491947603,1.479947965
1.384006353,2.623993558,2.512052208,2.520051988
2.623993686,1.372006421,1.483947976,1.479948056
1.376006313,1.376006438,2.512052117,2.524051756
2.615993652,2.623993564,1.483948068,1.479948148
1.380006329,1.376006435,2.512052027,2.520051806
1.384006345,1.376006433,1.483948159,1.475948377
2.615993656,2.627993587,2.512051936,2.520051716
1.376006306,1.376006428,1.483948249,1.479948329
2.623993695,2.623993571,2.512051847,2.524051489
1.380006320,1.372006407,1.483948340,1.479948418
1.376006303,1.380006442,2.512051757,2.520051540
2.623993700,2.627993596,1.483948428,1.479948508
1.380006317,1.376006421,2.512051667,2.524051311
1.376006298,1.376006419,1.483948517,1.479948596
2.623993705,2.619993565,2.496052135,2.520051365
1.380006314,1.376006416,1.499948053,1.479948686
2.623993707,2.623993586,2.496052044,1.479948722
1.376006293,1.376006412,1.487948557,2.524051089
