array-read,shm-read,array-write,shm-write
1.428009590,1.408009921,1.656001676,1.620001640
2.567990394,2.563989895,2.387998367,2.319998299
1.440009648,1.416009954,2.403998382,2.335998313
1.420009504,2.571989976,1.692001717,1.692001717
2.579990508,1.412009902,2.443998420,2.439998415
1.424009509,1.420009945,1.576001603,1.544001571
2.559990396,2.575990040,2.503998477,2.519998494
1.444009621,1.416009893,1.492001520,1.476001504
2.571990497,2.587990147,2.495998468,2.507998479
1.440009571,1.508010509,1.488001520,1.484001513
1.436009535,2.523989725,2.503998472,2.515998483
2.583990610,1.424009899,1.512001544,1.508001541
1.400009275,2.571990084,2.435998399,2.399998364
2.591990683,1.404009738,1.508001544,2.491998455
1.416009360,1.408009755,2.503998466,1.492001529
2.587990676,2.587990232,2.459998421,2.459998419
1.416009338,1.416009787,1.692001737,1.732001777
1.420009355,2.591990281,2.243998195,2.195998145
2.583990682,1.408009708,2.399998355,2.395998350
1.416009308,1.416009752,1.508001554,1.500001545
2.583990702,2.591990316,2.483998438,2.471998425
1.416009287,1.428009812,1.548001596,1.572001621
1.420009304,2.591990339,2.483998435,2.475998427
2.583990733,1.416009707,1.564001616,1.588001642
1.400009153,2.591990360,2.403998349,2.363998309
2.575990701,1.404009601,2.307998250,2.279998220
1.416009236,1.448009890,1.820001886,2.227998164
2.507990278,2.511989849,2.451998394,1.516001572
1.516009866,1.440009812,1.492001548,2.515998460
2.575990742,2.575990309,2.511998456,1.480001537
1.416009195,1.420009653,1.492001551,2.511998452
1.448009394,2.603990520,2.495998435,1.488001548
2.583990826,1.416009603,1.500001562,1.488001548
1.416009166,1.420009621,2.439998375,2.467998403
2.579990818,2.579990391,2.391998323,2.387998319
1.412009119,1.496010111,1.780001858,1.704001780
1.416009136,2.575990387,2.403998331,2.411998342
2.555990693,1.420009575,2.247998169,2.283998206
1.416009116,2.555990274,1.524001595,1.516001588
2.579990867,1.464009848,2.307998228,2.295998214
1.444009276,2.531990135,1.544001618,1.532001606
2.579990887,1.428009584,2.503998430,2.511998439
1.448009281,1.428009573,1.496001571,1.492001566
2.567990830,2.563990385,2.483998407,2.483998407
1.476009442,1.412009444,1.524001603,1.532001612
1.492009533,2.583990540,2.503998426,2.503998425
2.599991065,1.416009450,1.532001613,1.508001587
1.428009105,1.408009386,2.419998335,2.427998342
2.559990829,2.591990625,2.487998405,2.479998398
1.436009136,1.408009365,1.668001761,1.684001779
2.567990899,2.587990620,2.443998356,2.427998340
1.420009016,1.412009370,1.520001607,1.520001607
1.408008930,2.571990533,2.499998412,2.503998417
2.591991080,1.420009402,1.500001587,1.496001585
1.416008962,1.432009471,2.495998405,2.507998421
2.583991047,2.575990592,1.552001644,1.572001667
1.420008968,1.420009371,2.435998340,2.423998327
2.587991090,2.591990719,2.419998321,2.411998314
1.412008899,1.412009297,1.592001691,1.596001696
1.412008892,1.412009287,2.495998400,2.499998404
2.591991145,2.563990565,1.520001617,1.504001602
1.412008873,1.420009319,2.483998386,2.491998394
2.579991086,2.591990770,1.508001608,1.496001594
1.436009004,1.404009194,2.411998306,2.411998306
1.428008946,2.603990868,1.676001789,1.644001755
2.583991139,1.408009200,2.491998388,2.495998393
1.424008902,1.408009190,2.415998307,1.584001694
2.579991132,2.587990795,1.528001635,2.467998360
1.412008808,1.508009821,2.431998321,2.431998322
2.587991199,2.563990658,1.592001707,1.564001676
1.420008841,1.412009175,2.295998173,2.395998280
1.408008757,2.587990834,2.403998287,1.616001733
2.579991177,1.408009130,1.508001619,2.503998393
1.416008789,1.416009172,2.499998387,1.488001599
2.587991244,2.575990786,1.592001712,2.435998319
1.412008747,1.420009177,2.475998361,1.536001653
1.432008863,2.571990780,1.672001801,2.311998182
2.591991296,1.412009106,2.431998310,2.395998271
1.424008796,1.412009097,1.600001726,1.620001747
2.599991362,2.591990938,2.503998386,2.503998386
1.400008629,1.412009077,1.508001629,1.504001624
1.412008695,2.575990855,2.503998383,2.503998384
2.579991264,1.416009083,1.492001613,1.496001618
1.420008727,2.583990924,2.467998342,2.459998334
2.579991281,1.420009089,1.508001633,1.508001633
1.412008660,1.512009669,2.491998365,2.495998370
2.587991347,2.579990931,2.495998371,1.504001630
1.412008643,1.416009036,1.504001633,2.495998368
1.408008612,2.571990898,2.491998364,1.508001637
2.579991325,1.440009168,1.516001648,2.487998357
1.428008717,2.567990891,2.463998331,1.512001643
2.579991341,1.416008996,1.500001632,2.495998364
1.416008625,1.412008962,2.491998359,1.500001633
1.412008594,2.583991022,1.500001634,2.491998358
2.587991415,1.412008944,2.499998365,1.504001639
1.416008601,2.583991040,1.508001644,2.487998351
2.591991455,1.412008924,2.495998358,1.504001641
1.412008559,1.412008917,1.504001642,2.491998352
2.587991448,2.587991095,2.483998343,1.512001651
1.412008544,1.412008899,1.508001649,2.491998350
1.408008512,2.587991112,2.491998351,1.504001644
2.567991353,1.412008879,1.516001659,2.487998345
1.392008399,2.587991130,2.491998347,2.499998357
2.599991561,1.412008861,1.496001639,1.496001639
1.412008503,1.408008827,2.507998363,1.496001641
1.412008497,2.587991157,1.496001641,2.507998363
2.587991513,1.412008834,2.507998361,1.492001638
1.412008478,2.587991175,1.512001662,2.471998321
2.583991504,1.412008816,2.487998339,2.491998341
1.508009039,1.412008807,1.520001673,1.528001680
2.475990876,2.583991177,2.439998284,2.443998287
1.428008543,1.420008840,1.500001653,1.504001656
2.531991227,2.587991220,2.499998347,2.503998351
1.432008549,1.412008771,1.500001654,1.504001658
1.444008614,1.416008789,2.487998332,2.479998323
2.559991421,2.587991247,1.500001656,1.496001653
1.432008526,1.420008795,2.499998343,2.491998335
2.575991530,2.579991214,1.512001671,1.504001662
1.412008390,1.412008727,2.479998319,2.475998315
2.579991570,2.583991255,1.508001669,1.500001660
1.408008351,1.396008611,2.503998343,2.515998357
1.416008391,1.412008702,1.500001661,1.488001649
2.551991427,2.587991307,2.503998341,2.515998355
1.424008422,1.408008661,1.496001659,1.492001654
2.591991679,2.583991299,2.499998335,2.511998349
1.416008359,1.412008667,1.500001665,1.488001652
2.591991694,1.412008659,2.499998333,2.507998342
1.424008391,2.583991324,1.504001672,1.484001649
1.436008455,1.412008642,2.499998331,2.503998335
2.591991718,2.587991366,1.500001669,1.500001669
1.412008299,1.412008625,2.499998329,2.511998343
2.595991756,1.412008617,1.500001671,1.488001658
1.408008260,2.579991343,2.495998323,2.507998337
1.424008347,1.412008601,1.492001664,1.488001659
2.591991756,2.587991408,2.507998335,1.484001657
1.428008355,1.412008583,1.488001662,2.511998339
2.599991815,2.583991401,2.507998333,1.488001662
1.404008199,1.412008567,1.500001676,2.511998337
1.408008216,1.416008584,2.503998326,1.488001665
2.567991652,2.587991450,1.496001674,2.515998340
1.416008249,1.412008542,2.503998325,1.488001666
2.579991737,2.583991442,1.508001689,2.503998325
1.432008326,1.408008502,2.503998324,1.492001673
2.587991797,1.396008422,1.492001674,2.511998332
1.408008172,2.591991514,2.507998325,1.492001674
1.428008281,1.412008502,1.496001679,2.507998325
2.587991820,2.587991507,2.507998324,1.492001676
1.412008174,1.416008510,1.500001686,2.507998324
2.591991856,2.587991522,2.499998314,1.492001678
1.424008228,1.412008470,1.500001688,2.511998326
2.583991824,1.472008822,2.495998307,1.496001683
1.412008145,2.519991141,1.488001675,2.515998329
1.408008115,1.432008566,2.503998314,1.488001677
2.591991892,2.547991324,1.508001700,2.507998318
1.416008146,1.428008524,2.499998308,1.484001673
2.583991860,2.579991530,1.500001693,2.503998312
1.420008156,1.428008508,2.479998284,1.520001715
1.412008103,1.432008525,1.508001703,2.483998287
2.583991882,2.555991412,2.503998308,1.492001687
1.408008067,1.444008580,1.500001695,2.511998318
2.575991849,2.563991477,2.499998302,1.488001682
1.424008144,1.424008446,1.496001693,2.515998319
1.408008045,2.575991563,2.503998305,1.488001685
2.595991985,1.420008405,1.500001699,2.511998315
