array-read,shm-read,array-write,shm-write
1.376005812,1.392005881,2.275992677,2.243992541
2.623994187,1.384005846,1.488006319,1.484006302
1.376005812,2.615994154,2.511993681,2.515993697
1.376005812,1.380005829,1.492006337,1.480006286
2.623994187,2.619994170,2.511993680,2.511993681
1.376005812,1.380005829,1.488006320,1.484006302
2.623994188,1.380005829,2.511993681,2.515993698
1.376005813,2.619994170,1.488006320,1.484006303
1.376005812,1.380005829,2.511993680,2.515993697
2.623994188,1.380005829,1.488006319,1.488006319
1.380005830,2.619994171,2.511993680,2.515993697
1.376005812,1.376005813,1.488006320,1.484006303
2.623994188,2.619994171,2.507993663,2.511993680
1.376005813,1.380005829,1.488006320,1.484006303
2.623994187,1.384005846,2.511993681,2.511993681
1.372005795,2.619994171,1.488006321,1.488006321
1.376005812,1.380005830,2.511993681,2.515993698
2.623994188,1.388005863,1.488006320,1.488006320
1.380005830,2.619994171,2.511993680,2.519993714
1.376005812,1.380005830,1.488006320,1.480006286
2.623994187,2.619994171,2.507993663,1.488006320
1.376005812,1.380005829,1.488006320,2.515993697
2.623994188,1.380005829,1.488006320,1.488006320
1.376005812,2.615994154,2.511993680,2.515993697
1.376005813,1.380005829,1.488006320,1.484006304
2.623994187,2.619994170,2.511993680,2.511993681
1.376005812,1.380005829,1.492006337,1.484006304
1.376005812,1.380005829,2.511993679,2.511993680
2.627994204,2.619994170,1.488006320,1.488006320
1.380005828,1.380005829,2.511993680,2.515993697
2.623994187,1.380005829,1.488006320,1.488006320
1.376005813,2.615994153,2.511993679,2.515993696
1.380005829,1.396005897,1.488006320,1.488006320
2.623994188,2.619994171,2.511993680,2.511993680
1.376005812,1.384005845,1.488006320,1.484006303
1.372005796,1.380005830,2.511993680,2.511993679
2.619994171,2.619994171,1.488006321,1.484006303
1.376005813,1.384005846,2.511993680,2.511993680
2.623994188,1.380005830,1.488006321,1.488006321
1.376005812,2.619994171,2.511993680,2.515993697
1.376005813,1.380005829,1.488006320,1.488006321
2.623994188,2.619994170,2.507993662,2.515993697
1.376005813,1.380005829,1.488006320,1.488006320
2.623994188,1.384005845,2.511993680,2.515993696
1.376005812,2.615994153,1.488006321,1.488006320
1.376005813,1.380005829,2.511993680,2.511993679
2.619994171,2.615994153,1.488006321,1.484006303
1.372005795,1.380005829,2.511993679,2.511993679
1.376005813,1.376005812,1.488006320,1.484006304
2.623994188,2.611994137,2.511993679,2.511993680
1.376005812,1.388005863,1.488006321,1.488006321
2.623994187,1.384005847,2.511993680,2.515993697
1.380005829,2.619994171,1.488006321,1.488006321
1.376005812,1.384005846,2.511993680,2.519993713
2.623994187,2.619994171,1.488006321,1.484006304
1.376005813,1.380005829,2.511993679,1.484006303
1.376005812,1.380005829,1.492006338,2.511993679
2.623994188,2.619994170,2.511993680,1.484006303
1.372005796,1.376005812,1.488006321,2.511993679
2.627994204,2.623994188,2.511993679,1.484006304
1.380005829,1.380005830,1.484006304,2.515993696
1.372005796,1.380005829,2.507993662,1.484006303
2.619994171,2.619994171,1.488006320,2.511993679
1.376005812,1.380005830,2.511993679,1.484006305
1.376005812,1.380005829,1.488006321,2.515993696
2.623994187,2.615994154,1.488006320,1.480006286
1.376005813,1.376005813,2.511993679,2.515993696
2.619994171,2.619994171,1.492006339,1.484006304
1.372005795,1.376005812,2.511993679,2.511993679
1.376005812,1.376005812,1.488006321,1.484006304
2.623994187,2.623994188,2.511993680,2.511993679
1.376005812,1.380005830,1.488006322,1.488006322
1.380005830,1.376005813,2.511993679,2.515993696
2.623994188,2.619994171,1.492006338,1.488006320
1.376005812,1.376005812,2.511993679,2.515993695
2.623994188,2.619994170,1.488006320,1.488006320
1.376005813,1.380005829,2.511993678,2.511993678
1.376005812,1.376005812,1.488006321,1.484006304
2.623994187,2.623994188,2.511993678,2.511993680
1.380005829,1.380005830,1.488006320,1.484006305
1.376005812,1.376005812,2.511993678,2.511993679
2.623994187,2.623994188,1.488006320,1.488006322
1.376005812,1.380005829,2.511993678,2.515993696
2.623994188,2.623994187,1.488006322,1.488006321
1.376005813,1.376005812,2.511993679,2.515993696
1.376005812,1.380005830,1.488006321,1.488006322
2.623994187,2.623994188,2.511993678,2.511993680
1.376005812,1.376005813,1.488006320,1.484006305
1.376005812,1.376005812,2.511993678,2.511993678
2.623994187,2.623994188,1.488006322,1.484006304
1.376005812,1.380005829,2.511993679,1.488006321
2.623994187,2.623994187,1.488006321,2.511993678
1.376005812,1.380005829,2.507993661,1.484006303
1.376005812,1.384005846,1.484006303,2.511993678
2.623994188,2.615994154,2.511993678,1.484006305
1.376005812,1.376005813,1.492006339,2.511993679
1.376005813,2.623994188,2.511993678,1.488006322
2.615994154,1.376005812,1.488006321,2.515993695
1.376005813,1.376005812,2.511993678,1.488006321
2.619994171,2.619994170,1.488006321,2.511993679
1.376005812,1.376005812,2.511993678,1.484006305
1.376005813,1.376005813,1.488006321,2.511993678
2.623994188,2.623994188,2.511993678,1.484006304
1.376005812,1.376005813,1.488006320,2.511993678
1.376005813,2.623994188,2.511993677,1.484006304
2.623994188,1.376005812,1.488006322,2.519993713
1.376005813,1.376005813,2.511993679,1.484006305
2.623994188,2.615994154,1.496006356,2.507993661
1.376005812,1.384005846,1.488006321,1.488006321
1.376005812,1.380005829,2.511993678,2.515993695
2.619994170,2.623994187,1.488006322,1.488006322
1.376005812,1.376005812,2.511993679,2.515993695
1.376005813,2.623994188,1.488006322,1.484006305
2.623994188,1.380005829,2.511993679,2.519993712
1.376005813,1.376005813,1.488006323,1.484006304
2.623994188,2.623994187,2.511993679,2.519993712
1.376005812,1.376005812,1.488006323,1.480006288
1.376005812,1.376005812,2.507993662,2.519993712
2.623994187,2.619994171,1.488006321,1.484006304
1.376005812,1.380005830,2.511993677,2.519993712
1.376005813,2.623994188,1.488006322,1.480006287
2.623994188,1.380005829,2.511993679,2.515993694
1.376005812,1.376005812,1.488006323,1.488006322
2.623994187,2.619994170,2.511993678,1.488006321
1.376005812,1.376005812,1.488006322,2.515993694
1.376005813,1.376005813,2.511993679,1.488006321
